Raw,CD-RE,Polarity
...... who can protect our young generation now? #MakeSchoolASaferPlace https://t.co/Ag3JiQ4Pv6,melindungi generasi muda,0
"What if you realised one of those men were your dad, brother, cousin or uncles, your GRANDPA? To know someone youre… https://t.co/HHY8aWRkZl",menyedari salah lelaki sepupu saudara ayah paman datuk untuk mengenali,0
I have so much respect for her!! #MakeSchoolASaferPlace https://t.co/GqwzWpw85V,Saya menghormatinya,1
"How disgusting ya those comments
#MakeSchoolASaferPlace",betapa menjijikkannya komen,-1
#MakeSchoolASaferPlace,,0
"Bookmark

#MakeSchoolASaferPlace",tanda buku,0
"Tell us your story. Voice out. We hear you and we we're here to protect you. #MakeSchoolASaferPlace 

Also thank yo… https://t.co/Ln4ArF3ejd",beritahu suara cerita mendengar untuk melindungi mengucapkan terima kasih,1
Kalau dekat sekolah pun cikgu² buat sex jokes macam tu thats mean sekolah dah tak selamat untuk student. Ain. My re… https://t.co/kybTK7y9GA,sekolah cikgu2 lelucon seks bermaksud sekolah selamat tak selamat untuk pelajar,-1
and please spread this! if you want to know what’s going on here’s a thread that will help and explain everything… https://t.co/acycSrhCtg,sila sebarkan mengetahui berlaku utas membantu menerangkan,-1
Fuck it might fuck around and make an excel spreadsheet to list all the emails of government MPs and pembangkang MP… https://t.co/7xDTJew43X,fuck it might fuck around and make an excel spreadsheet to list all email of government mps and pembangkang mp,-1
#MakeSchoolASaferPlace,,0
"tw // sexual assault , rape 

hi oomfs it would be great if you can sign this petition tysm! 

Malaysian government… https://t.co/ZI5pzfc1G5",tw rogol serangan seksual hi oomfs bagus menandatangani petisyen tysm malaysian government,1
"@ant33ater Kesemua kes, mangsa menutup aurat &amp; berhijap.

Hentikan normalisasi lawak lucah. 
#MakeSchoolASaferPlace",kesemua kes mangsa menutup aurat amp berhijap hentikan normalisasi lawak lucah,-1
#MakeSchoolASaferPlace https://t.co/wucCIR94HT,,0
Malaysian government : Force Malaysian Schools to protect girls from rape and sexual assault - Sign the Petition!… https://t.co/DuXzNJstrP,Kerajaan malaysia paksa sekolah malaysia lindungi kanak kanak perempuan rogol serangan seksual tandatangan petisyen,1
#MakeSchoolASaferPlace Malaysian government : Force Malaysian Schools to protect girls from rape and sexual assault… https://t.co/wEL1S0zq95,Kerajaan malaysia paksa sekolah malaysia lindungi kanak kanak perempuan rogol serangan seksual,1
stop twisting my statement to rationalize your hate towards men. these men were once boys who were victims to this… https://t.co/J6SslMCFpC,berhenti memutar belitkan pernyataan untuk merasionalisasikan kebencian lelaki menjadi budak lelaki menjadi mangsa,-1
posted this in my igs and here too.  #MakeSchoolASaferPlace https://t.co/G0ScyKonkH,memposting igs,0
"mf will say they dont believe ain’s @ant33ater tiktok video, but will believe that garlic is the cure to COVID19. l… https://t.co/iyXwMVZX18",mf mengatakan tidak percaya video tiktok ain percaya bawang putih penawar covid19 l,0
"You guys hati2 tau risau la min kadang2 lagi-lagi Yang perempuan tu...

#MakeSchoolASaferPlace",hati2 tahu risau min kadang2 perempuan,-1
"This Ain is so brave !! 
#MakeSchoolASaferPlace",ain sungguh berani,1
"#MakeSchoolASaferPlace 

Credit to Dr Amalina https://t.co/MVaUqWpUjT",kredit untuk amalina,1
they called themselves educators???? i cant believe my eyes that such educators wrote all those disgusting comments… https://t.co/lGrKGvrP2I,menyebut pendidik tidak percaya mata pendidik menulis komen menjijikkan,-1
"Sign for the petition girls! 🤍

Malaysian government : Force Malaysian Schools to protect girls from rape and sexua… https://t.co/voXa90HJOp",sign for the petition girls malaysian government force malaysian schools to protect girls from rape and sexua,1
As a someone whose been a victim before on sexual harassment and assault. I could really understand adik ain’s situ… https://t.co/v3NZmXI4jO,menjadi mangsa gangguan seksual serangan benar benar memahami adik ain s situ,1
teachers group? fr? see how its very fucked up now? #MakeSchoolASaferPlace https://t.co/wk5Z3S6LzC,kumpulan guru fr melihat kacau,-1
"https://t.co/TenLfyZjbZ 

#MakeSchoolASaferPlace ✊🏻",nada kulit ringan penumbuk dinaikkan,0
We stand with you ain.. Fight till the end.. Don't stop.. #MakeSchoolASaferPlace https://t.co/RCADoTcVeZ,berdiri berjuang akhir tidak berhenti,1
"|￣￣￣￣￣￣￣￣￣￣￣￣￣|
    #MakeSchoolASaferPlace
|____＿＿＿＿＿＿＿＿＿＿＿|
                    \(•︵•) / 
                      \… https://t.co/YGPo8SuIbo",,0
Who would have thought that a pop song written almost a decade ago to celebrate female empowerment can also boost t… https://t.co/rkt3W1YAI6,sangka lagu pop ditulis satu dekad untuk meraikan pemberdayaan wanita meningkatkan,1
Disgusting 🤢 #MakeSchoolASaferPlace https://t.co/SK3SfXrGp0,Muka mual jijik,-1
"That is inappropriate whenever, wherever and with whoever. So glad she has an amazing support system in her parents… https://t.co/Rn04nAFeLr",tidak sesuai masa sahaja sahaja gembira mempunyai sistem sokongan luar ibu bapanya,1
My husben is a teacher &amp; he agrees that some teachers are pervert. Plus dulu pernah kene tp tak berani nak speak up… https://t.co/uXuvKymbn2,husben guru amp bersetuju guru sesat ditambah kene tak berani nak bersuara,-1
"#MakeSchoolASaferPlace
I dont actually care abt this tag im just here to show you guys my lovely cute waifu, ichika… https://t.co/DG9wVoEQsq",Saya tidak peduli tag untuk menunjukkan waifu ichika comel indah,0
@tonyeusoff Betul tu dato'.. Saya sokong !! #MakeSchoolASaferPlace,dato sokong betul,1
#MakeSchoolASaferPlace https://t.co/FGW6ZlYPus,,0
#MakeSchoolASaferPlace 💪💪🏻💪🏼💪🏽💪🏾💪🏿 https://t.co/thIXer3xJn,biceps flexed biceps light tone flexed biceps medium light skin tone flexed biceps medium skin tone flexed biceps medium dark skin tone flexed biceps dark skin tone flexed biceps dark skin tone,0
"eii geram betul budak kelas dia ni, kalau aku jumpe, aku cepuk, org nk tolong dia, alih2 tikam belakang, nk sgt jad… https://t.co/dsUngNUh4v",eii geram betul budak jumpe cepuk orang nak tolong alih2 tikam belakang nak sgt jad,-1
"Educate to eradicate. 👊 Denormalise rap3 culture.

Standing in solidarity with @ant33ater  

#MakeSchoolASaferPlace… https://t.co/YGeAuTYoNS",mendidik untuk membasmi budaya denormalise rap3 penumbuk datang solidariti,1
Omg you are so brave young girl. Reading those extreme comments make me feel ashamed of being muslim and malay.… https://t.co/FgQAtTradj,omg awak gadis muda berani membaca komen komen melampau membuatkan berasa malu muslim malay,1
"RIP segelintir pendidik di Malaysia
#MakeSchoolASaferPlace 
#reformeducationalsystem",rip segelintir pendidik malaysia,0
#MakeSchoolASaferPlace,,0
they literally 17 y/o and I don’t think they get the proper exposure about r4pe jokes dan seumpamanya until it cons… https://t.co/WnFqMCZMj4,benar benar 17 rasa tidak mendapat pendedahan tepat mengenai lelucon r4pe seumpamanya menjadi keburukan,-1
Aku tak fhm betul la org2 kt fb. Kenapa korang perlu nk tngok pakaian budak tu? Kenapa nk ckp2 pasal breast dia bes… https://t.co/uXdIVQBIN2,tak faham betul org2 kt fb nak tngok pakaian budak perlu nak ckp2 pasal breast bes,-1
#MakeSchoolASaferPlace,,0
"No i will never shut up about this matter , say what u want but atleast I'm not a pussy enough to keep my damn mout… https://t.co/JuacktvLJA",tidak tidak tutup mulut mengenai perkara mengatakan mahukan sekurang kurangnya tidak cukup pussy untuk menjaga mulut,-1
Based on what's happening right now in Malaysia (#MakeSchoolASaferPlace ) I'm ashamed to acknowledge the stupidity… https://t.co/SbceZYcv6L,berdasarkan berlaku malaysia malu untuk mengakui kebodohan,-1
Malaysian government : Force Malaysian Schools to protect girls from rape and sexual assault - Sign the Petition!… https://t.co/aENZVFDhdh,Kerajaan malaysia paksa sekolah malaysia lindungi kanak kanak perempuan rogol serangan seksual tandatangan petisyen,0
#MakeSchoolASaferPlace https://t.co/sOYt8okRtB,,0
Tengok dekat post satu ni about this issue and adults yang bukan melayu leaves really good response but tengok lah… https://t.co/vWAGpoJII3,tengok post satu mengenai isu orang dewasa melayu meninggalkan sambutan baik tengok,1
if you want to know what’s going on in msia u can look through the hashtag #MakeSchoolASaferPlace and also this twe… https://t.co/2d7iBMVzzc,mengetahui berlaku malaysia melihat hashtag twe,0
Some ppl be preaching amar maaruf nahi mungkar but bats an eye when r*pe joke/culture is being normalized in school… https://t.co/0nganlN6MG,ppl berkhutbah amar maaruf nahi mungkar memerhatikan budaya r joke dinormalisasi sekolah,-1
"howbeit, #MakeSchoolASaferPlace

so that people don't lose friends anymore like I was. https://t.co/9ksw6CsvYl",orang tidak kehilangan kawan,-1
"I never saw a nigga fighting for a relationship .............. it’s always a female 

#Blueface #CrimesAgainstWomen… https://t.co/QGzqnArvCB",Saya tidak melihat nigga memperjuangkan hubungan menjadi wanita,-1
"Sakit dunia kita sekarang.
Yang bergelar pendidik serupa tak cukup terdidik. Memang tak ramai tapi ada. 
Si anak hi… https://t.co/2cwKE50F9x",dunia bergelar pendidik tak cukup terdidik tak ada anak hi,-1
"“There needs to be continuous training for teachers to help them deal w issues like mental health, corporal punishm… https://t.co/kZJGV5AKrj",perlu ada latihan berterusan untuk guru untuk membantu menangani masalah hukuman badan kesihatan mental,1
"hi guys, it would mean a lot if u could sign and spread this petition to #MakeSchoolASaferPlace for students in my… https://t.co/LYnHor14uT",hai lelaki bermakna menandatangani menyebarkan petisyen pelajar,0
pls understand that this movement is not solely for women but also for boys out there. #MakeSchoolASaferPlace doesn… https://t.co/FPRCXKhaFc,pls memahami pergerakan semata mata untuk wanita untuk kanak kanak lelaki luar,0
"Pdrm ni buat nyawa orang + sexual harassment ni benda main main je ke?????

Yang kira selipar tu lagi penting??? Gi… https://t.co/876OqR4r66",pdrm nyawa orang gangguan seksual benda utama sahaja selipar penting pergi,-1
You've done well and great girl! Thank you for speak up and I hope justice is with you. Stay strong!… https://t.co/GAaXqGcCHH,melakukannya baik gadis hebat terima kasih bersuara harap keadilan tetap kuat,1
#Muslims #educateyourself #MakeSchoolASaferPlace https://t.co/pxNmhtVpCN,,0
"“This is 2021. People can change &amp; learn, even if you're an adult” @melisa_idris &amp; @sharaadkuttan ask student whist… https://t.co/8u8PC9ix83",2021 orang menukar amp belajar amp dewasa bertanya pelajar,0
"@WahiWuutt @ant33ater Ye.. Pressure dri org luar yg main hentam je.. Niat utk nk #MakeSchoolASaferPlace  bgus, tpi… https://t.co/qb24ENAWbA",ya pressure orang luar main hentam sahaja niat untuk nak bgus,1
Stop laa salahkan perempuan! Geram betul laa baca komen dekat fb Ain tuu haihhh 😡 #MakeSchoolASaferPlace,stop laa salahkan geram perempuan laa baca komen fb ain tuu haihhh pouting face,-1
"Five new stories are up and running on https://t.co/FI5HPNbH4t 

If #MakeSchoolASaferPlace is a part of your advoca… https://t.co/uk0tBvgAiB",lima kisah baru muncul terus berjalan sebahagian advoka,0
"if you choose silence, means that you’re supporting sexual assault. please sign the petition.… https://t.co/a698ZAB38r",memilih diam bermaksud menyokong serangan seksual sila tandatangani petisyen,-1
"Kita bersolidariti dengan @ant33ater dan sangat mendokong mesej yang beliau bawakan.

Rogol bukan bahan jenaka, jau… https://t.co/taMw8EnYoT",bersolidariti penting mesej bawakan rogol jenabahan jau,1
I truly hope that this will not make people generalize counsellors in the bad perspective. I am a counsellor myself… https://t.co/SoVeSQq6JL,Saya benar benar berharap tidak membuat orang membuat generalisasi kaunselor perspektif buruk kaunselor,0
