Raw,CD-RE,Polarity
KRI Nanggala-402 hilang kontak di perairan utara Bali pada Rabu (21/4) saat kapal selam tersebut sedang latihan pen… https://t.co/sx2sIKdjCJ,kri nanggala 402 hilang kontak perairan utara bali rabu 21 untuk kapal latihan pen,-1
"Beberapa Orang Komentar Tak Pantas soal Insiden Kapal Selam Nanggala-402, Siapa Saja yang Terciduk?
#KRINaggala402… https://t.co/upDgHtp2dE",orang komentar tidak tahu mengenai insiden kapal selam nanggala 402 terciduk,0
"Pemerintah Kota Denpasar ikut berbela sungkawa, Turut berduka cita dan penghargaan yg setinggi tingginya atas gugur… https://t.co/x9aNk37nwC",pemerintah kota denpasar ikut berbela sungkawa berduturut ka penghargaan setinggi tingginya atas gugur,-1
TRENDINGIN JANGAN? #HUKUMMATI #hukummatikoruptor #babi #KRINanggala402 https://t.co/RdLy5OlOh9,trendingin,0
"Selamat Jalan Komandan, kami selalu kenang kebaikan, tutur kata lembut dan cerita2 mu kala itu di Ranai. See u koma… https://t.co/292xuGS7kj",selamat jalan komandan kenang kebaikan kata lembut cerita2 mu ranai see u koma,0
"[Hoaks atau Fakta]: Tenggelamnya KRI Nanggala-402 akibat ditembak rudal kapal selam Prancis.

#merahputihcom #hoaks… https://t.co/JFBViijOVf",hoaks fakta tenggelamnya kri nanggala 402 ditembak akibat rudal selam kapal prancis,-1
Awan di atas langit Bali mirip dengan kapal selam dan bikin netizen langsung teringat insiden tenggelamnya KRI Nang… https://t.co/pi6L01Gilu,awan atas langit bali kapal selam bikin netizen langsung teringat tenggelamnya kri nang,1
"Gelombang bawah air laut mungkin punca kapal selam milik Indonesia, #KRINanggala402 tenggelam.

Pergerakan gelomban… https://t.co/OIHRc99ZSV",gelombang udara punca kapal selam milik indonesia tenggelam gelomban pergerakan,-1
"Apakah #SahabatDikbud tahu nama senjata lainnya yang ada dalam dunia pewayangan? Yuk, berbagi pengetahuan!… https://t.co/eKm3hmKiA1",tahu nama senjata ada dunia pewayangan yuk berbagi pengetahuan,0
Tahukah #SahabatDikbud? Lima nama kapal selam @_TNIAL_ berasal dari nama senjata dalam dunia pewayangan. Mari simak… https://t.co/GLn9jHSCGP,tahukah lima nama selam kapal berasal nama senjata dunia pewayangan mari simak,0
"SHOLAT GAIB UNTUK PRAJURIT NANGGALA 402
&gt;&gt;&gt;
https://t.co/nC6siiCs7X
.
.
#sholatgaib #korban #krinanggala402 #unusa… https://t.co/kbVk949cHt",sholat gaib untuk prajurit gala nang402 gt gt gt,1
"Daripada Koruptor bebas berkeliaran...
—
Akan sangat Baik disikat habis Uangnya untuk mengganti hasil Korupnya...… https://t.co/iVU87CtLNs",koruptor bebas berkeliaran baik disikat habis uangnya untuk mengganti hasil korupnya,0
"TB Hasanuddin Minta KSAL Tanggung Jawab soal KRI Nanggala-402 Tenggelam

Selengkapnya: https://t.co/jtm36MrqNN… https://t.co/fdGUPZJzuy",tb hasanuddin minta ksal ng jawab kri nanggala 402 tenggelam selengkapnya,0
"A small Tribute to the 53 Brave souls of KRI Nanggala 402 (Submarine curved on Pencil Lead)
#KRINanggala402… https://t.co/q14T3adUU8",penghormatan 53 jiwa berani kri nanggala 402 kapal selam melengkung plumbum pensil,1
Ketika Kapal Perang Turki Kirimkan Bendera signal Pray For KRI Nanggala ke Kapal Perang Indonesia… https://t.co/fyuEIoJbo7,Kapal turki perang kirimkan bendera isyarat berdoa untuk kri nanggala kapal indonesia,1
#PrayForKRINaggala402 #Nanggala402 #KRINanggala402 #Prayfornanggala402 #prayforindonesia #viralindonesia,,0
Proses investigasi untuk mencari penyebab tenggelamnya kapal selam KRI Nanggala-402 hingga kini masih terus berlang… https://t.co/EYkH33ZnaZ,proses penyiasatan untuk mencari gelakapal selam kri nanggala 402 terus berlang,0
"Tiga Pesan UAS Soal Rakyat Galang Donasi Beli Kapal Selam, UAS Juga Ingatkan Asal TNI dari Rakyat… https://t.co/KSVzShKUqg",tiga pesan uas rakyat soal galang donasi beli kapal selam uas ingatkan asal tni rakyat,0
"Kepolisian Daerah (Polda) Gorontalo menunjukkan empati atas gugurnya 53 personel kapal selam KRI Nanggala-402, deng… https://t.co/k9TadZ0icz",kepolisian polda gorontalo empati atas gugurnya 53 personel kapal selam kri nanggala 402 denggi,1
"Video Awan Mirip Kapal Selam KRI Nanggala-402 di Langit Bali Viral di Medsos, Ini Pengakuan Perekam… https://t.co/oAVJtBQaa4",video awan mirip kapal selam kri nanggala 402 langit bali viral medsos pengakuan perekam perekam,1
"Berita terupdate tentang KRI NANGGALA hari ini 
https://t.co/SJROV7pCpv

#earthquake #BeritaIN #berita… https://t.co/uNaMaRgVXx",berita terupdate kri nanggala hari,0
"In pictures: 
#Indonesian throw flowers and petals with names of the sunken #KRINanggala402  #submarine crew member… https://t.co/ijbXNb8DwB",gambar melemparkan bunga kelopak nama anggota kru tenggelam,1
Eternal Patrol 🙏🏻🇮🇩  #prayfornanggala #tiktoktrans7 #krinanggala402 #ksatria #indonesia https://t.co/snvHzlvjq4,rondaan kekal dilipat tangan nada kulit ringan,1
KRI Nanggala 402 https://t.co/QCpRfiz5Mv #KRINanggala402 https://t.co/jSL2BwX6Pe,kri nanggala 402,0
"Keliru, KRI Nanggala 402 Tenggelam karena Ranjau Bawah Laut Militer Cina #KRINanggala402 #KRINanggala https://t.co/mUIa2fTZ8w",keliru kri nanggala 402 tenggelam karena ranjau laut militer cina,0
"Video yang memperlihatkan penampakan awan yang menyerupai kapal selam viral di media sosial, Instagram… https://t.co/6j01KWa4vd",video memperlihatkan penampakan awan menyerupai kapal selam viral media sosial instagram,1
#Terpopuler Indonesia secara resmi memiliki kapal selam pada 1959 silam. Saat itu siapakah yang ditunjuk menjadi ko… https://t.co/ohfRsAyWVk,indonesia secara resmi memiliki kapal selam 1959 silam ditunjuk menjadi ko,0
"Setelah menyelam 40 tahun, KRI Nanggala-402 kini berstatus On Eternal Patrol atau patroli abadi di perairan Bali. K… https://t.co/a59KHGwtUt",Setelah 40 tahun kri nanggala 402 berstatus rondaan abadi patroli abadi perairan bali ok,1
"Saat ini, yang bisa kita lakukan hanya memberikan doa terbaik dan mendukung penuh semua usaha TNI AL dalam usaha pe… https://t.co/H1wBdehfkO",lakukan memberikan doa terbaik menyokong usaha tni al usaha,1
"@_TNIAL_ Semoga ada mukjizat para kru KRI NANGGALA 402 dapat ditemukan dalam keadaan selamat, #KRINaggala402 #KRINanggala402",semoga ada mukjizat kru kri nanggala 402 ditemukan keadaan selamat,1
Tragedi #KRINanggala402. Terlalu mahal harga nyawa anggota TNI kita. Jangan sampai terulang kembali. Dukung penuh u… https://t.co/cYtUrwMbqU,tragedi mahal harga nyawa tni terulang kembali dukung penuh u,1
"Kepala Staf Angkatan Laut Laksamana TNI Yudo Margono, S.E.,MM., mengunjungi keluarga salah satu perwira yang gugur… https://t.co/ykQKBk2nDG",staf kepala angkatan laut laksamana tni yudo margono s e mm salah satu keluarga mengunjungi perwira gugur,1
"KRI Nanggala-402 Tenggelam Diduga karena Faktor Alam, Ini Penjelasan Asrena KSAL 

#KRINanggala402 https://t.co/a9AX0JEzOf",kri nanggala 402 tenggelam diduga faktor alam penjelasan asrena ksal,1
#ICYMI #KRINanggala402 https://t.co/WinN4XaQVj,,0
"Tragedi #KRINanggala402. Anggota Komisi VI DPR RI, Amin Ak @Aminakram_  menyerukan untuk menunda pembangunan Ibu Ko… https://t.co/Uf7tgGgxCk",tragedi anggota komisi vi dpr ri amin menyerukan untuk menunda pembangunan ibu ko,0
"Dalam gelap &amp; hening, bersemayam di palung terdalam dengan penuh kedamaian.
#OnEternalPatrol
#KRINanggala402",Dalam amp hening bersemayam palung terdalam penuh kedamaian,1
KRI Nanggala-402 diduga kuat karam akibat terseret aras bawah laut yang kuat. Hal ini diperkuat oleh hasil pantauan… https://t.co/SAUVvOoDX3,kri nanggala 402 diduga karam kuat akibat terseret laut bawah kuat diperkuat hasil pantauan,-1
"#SahabatPMK, pada 25 April 2021 Menko PMK @muhadjir_ef  melakukan kunjungan di Kota Surabaya dalam rangka memberika… https://t.co/NzDVUSSxI5",25 25 April 2021 menko pmk melakukan kunjungan kota surabaya rangka memberika,0
"“Even though I’m not ready to be missing you, I’m not ready to live without you. I wish all the best for you.”

Thi… https://t.co/nZ0KcuhhQ9",tidak bersedia untuk kehilangan tidak bersedia untuk hidup berharap terbaik untuk,-1
"So Long great Sailor
🙏🙏🙏

#jalesvevajayamahe
#wiraanantarudira 
#KRINanggala402 https://t.co/lOXY5XWzsM",tangan berlayar dilipat tangan dilipat,1
"#wiraanantarudira 
#KRINanggala402 

On Eternal Patrol https://t.co/2wQHlxf1XH",rondaan abadi,1
On Eternal Patrol #KRINaggala402 #KRINanggala402 #inalillahi #RestInPeace Selamat Hari Puisi Nasional https://t.co/Lt7gwmsiKV,on eternal patrol selamat hari puisi nasional,1
Warga Bali gempar oleh penampakan awan mirip KRI Nanggala-402. Awan mirip kapal selam TNI AL yang tenggelam itu ter… https://t.co/KkukN0sYNs,warga bali gempar penampakan mirip awan kri nanggala 402 awan mirip kapal selam tni al tenggelam ter,1
"Pengalaman Merinding Blackout di Kapal Selam Nanggala 402, Merangkak di Demi Jaga Keseimbangan… https://t.co/TwRyBJVjIm",pengalaman merinding pemadaman kapal selam nanggala 402 merangkak jaga keseimbangan,0
"Deeply saddened, remembering the soldiers who have fallen for their country recently. 
In the depth of Bali sea bed… https://t.co/t9oA0cOlT3",sedih mengingati tentera jatuh cinta negara baru baru kedalaman dasar laut bali,-1
Jazir dan anak-anak Masjid juga telah melakukan aksi penggalangan dana. Mereka berhasil mendapatkan kurang lebih Rp… https://t.co/bQCh4pxuiy,jazir anak anak anak melakukan aksi aksi penggalangan dana untuk mendapatkan kurang rp,1
"Turut berduka cita atas musibah yang menimpa Nanggala 402

#krinanggala402 #OnEternalPatrol https://t.co/BuOIBpinVZ",turut berduka cita atas musibah menimpa nanggala 402,0
"Ustaz Abdul Somad atau UAS mengajak warga untuk patungan membeli kapal selam.
#krinanggala402… https://t.co/pNAMXJpWx6",ustaz abdul somad mengajak uas warga untuk membeli patungan kapal selam,0
KRI nanggala 402 how rescue submarine #krinanggala402 https://t.co/VuF84VMqYT,kri nanggala 402 kapal selam penyelamat,0
"out of curiousity, here's my take on the poignant farewell sung by the Nanggala-402 sailors, before its eternal dep… https://t.co/xItgerKeAr",tahu mengambil perpisahan pedih dinyanyikan pelaut nanggala 402 depannya kekal,-1
