Raw,CD-Malaya,CD-RE,Polarity
Mangsa yang berusia 3 dan 7 tahun dikhuatiri lemas selepas motosikal ditunggangi ibu mereka hilang imbangan semasa… https://t.co/ZHfHnr0M6x,mangsa yang berusia <number> dan <number> tahun> dikhuatiri lemas selepas motosikal ditunggang ibu hilang imbangan mereka ... <url>,mangsa yang berusia dan tahun dikhuatiri lemas selepas motosikal ditunggangi ibu mereka hilang imbangan semasa ,-1
"Dua kanak-kanak berada dalam keadaan kritikal. #sinarharian

https://t.co/oVfww3Ec6P",kanak-kanak berada dalam keadaan kritikal . <hashtag>sinarharian</hashtag> <url>,dua kanak kanak berada dalam keadaan kritikal ,-1
"Pilih apa yang rakyat mahu..

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/7yUN6bFd4n",apa yang rakyat mahu. <repeated> (petikan ucapan dalam wacana <user> semalam. <repeated> ) <hashtag> sinarharian</hashtag> ... <url>,pilih apa yang rakyat mahu petikan ucapan saya dalam wacana semalam ,0
"Dasar parti lebih penting..

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/SwaaKdMYHU",parti dasar lebih penting. <repeated> (petikan ucapan wacana <user> semalam. <repeated>) <hashtag> sinarharian</hashtag> ... <url>,dasar parti lebih penting petikan ucapan saya dalam wacana semalam ,0
"Jangan ulang salah laku PH..

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/Lunhw9xob0",jangan ulang ulang laku ph. <repeated> (petikan ucapan saya dalam wacana <user> semalam. <repeated>) <hashtag> sinarharian</hashtag> ... <url>,jangan ulang salah laku ph petikan ucapan saya dalam wacana semalam ,-1
"Rakyat adalah orang tengah...

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/i6ivvH2qNa",rakyat rakyat tengah adalah . <repeated> (petikan ucapan wacana <user> semalam . <repeated> ) <hashtag> sinarharian</hashtag> ... <url>,rakyat adalah orang tengah petikan ucapan saya dalam wacana semalam ,0
"Mahkamah Rayuan melanjutkan perbicaraan rayuan kes SRC bekas perdana menteri itu bagi tempoh sehari lagi, pada 6 Me… https://t.co/SHtEaxfmD9","mahkamah rayuan melanjutkan rayuan kes <allcaps>src</allcaps> perdana menteri itu bagi bekas sehari, lagi pada <number> saya... <url>",mahkamah rayuan melanjutkan perbicaraan rayuan kes src bekas perdana menteri itu bagi tempoh sehari lagi pada me ,-1
"“Sekiranya tiada masalah, Haiqal dan Khairul Hafiz akan menjalani latihan dengan ‘gear tiga’ sebagai persediaan men… https://t.co/3MgzR8Wyka","""sekiranya masalah, haiqal dan khairul hafiz akan menjalani latihan dengan \'gear tiga\' diaan perselelaki... <url>", sekiranya tiada masalah haiqal dan khairul hafiz akan menjalani latihan dengan gear tiga sebagai persediaan men ,1
"Sarawak merekodkan 416 kes baharu Covid-19, menjadikan jumlah keseluruhan meningkat kepada 29,377 kes dan enam kes… https://t.co/izycGpc7v2","sarawak merekodkan <number> kes baharu covid - <number>, menjadikan jumlah keseluruhan meningkat kepada <number> kes dan enam kes ... <url>",sarawak merekodkan kes baharu covid menjadikan jumlah keseluruhan meningkat kepada kes dan enam kes ,-1
"Niat seorang pengasuh untuk mendapatkan pinjaman dalam talian berakhir dengan kerugian
#sinarharian 
https://t.co/1Pk3FBgh2Z",niat seorang penasuh untuk mendapatkan pinjaman dalam berakhir talian dengan kerugian <hashtag>sinarharian</hashtag> <url>,niat seorang pengasuh untuk mendapatkan pinjaman dalam talian berakhir dengan kerugian ,-1
Penutupan itu memastikan kerja sanitasi dibuat dan memberi peluang kepada pelajar untuk membuat saringan. -  Dr Sha… https://t.co/9W6jD9ps4i,pentutupan itu memastikan kerja sanitasi dibuat dan memberi peluang kepada pelajar untuk membuat saringan. - dr sha ... <url>,penutupan itu memastikan kerja sanitasi dibuat dan memberi peluang kepada pelajar untuk membuat saringan dr sha ,-1
Rakaman perbuatan suspek yang berbaju hijau berlegar-legar di lokasi untuk mendekati mangsa turut tular di laman so… https://t.co/44alUUaqEl,rakaman perbuatan berbaju hijau berlegar-legar di lokasi untuk mendapatkan mangsa turut tular di laman web jadi... <url>,rakaman perbuatan suspek yang berbaju hijau berlegar legar di lokasi untuk mendekati mangsa turut tular di laman so ,-1
Perbuatan guru tersebut jelas tidak profesional dan bertentangan dengan etika kerja yang sepatutnya diamalkan indiv… https://t.co/yr5OZGYKKO,perbuatan guru jelas tidak profesional dan bertentangan dengan etika kerja yang sepatutnya diamalkan indi ... <url>,perbuatan guru tersebut jelas tidak profesional dan bertentangan dengan etika kerja yang sepatutnya diamalkan indiv ,-1
Pertumbuhan itu didorong kenaikan indeks perlombongan yang melonjak sebanyak 32 peratus berbanding -11 peratus pada… https://t.co/73DUW6m6QD,pertumbuhan itu mendorong kenaikan indeks perlombongan yang melonjak <number> peratus - <number> pada peratus ... <url>,pertumbuhan itu didorong kenaikan indeks perlombongan yang melonjak sebanyak peratus berbanding peratus pada ,-1
Hasil siasatan mendapati mangsa bersama kakaknya telah dibawa ke sekolah di sekitar Sungai Tiram oleh neneknya yang… https://t.co/TkPlrqb55d,hasil siasatan mendapati kakaknya telah dibawa ke sekolah di sekitar sungai tiram oleh neneknya yang ... <url>,hasil siasatan mendapati mangsa bersama kakaknya telah dibawa ke sekolah di sekitar sungai tiram oleh neneknya yang ,-1
polis diraja malaysia merekodkan purata 180 kes kemalangan setiap hari di KL sejak arahan bekerja dari rumah terbatal bermula 1 Apri… https://t.co/jDZ07PGVl7,<allcaps> polis diraja malaysia</allcaps> merekodkan purata <number> kes kemalangan setiap hari di kuala lumpur arahan sejak bekerja dari rumah terbatal bermula <number> apri... <url>,polis diraja malaysia merekodkan purata kes kemalangan setiap hari di kl sejak arahan bekerja dari rumah terbatal bermula apri ,-1
Mereka perlu melihat faktor-faktor penyebab dan situasi semasa yang menyebabkan berlakunya pelanggaran itu. -  Mas… https://t.co/BogYs9mBcy,perlu melihat faktor-faktor penyebab dan situasi yang menyebabkan berlakunya pelanggaran itu. - mas ... <url>,mereka perlu melihat faktor faktor penyebab dan situasi semasa yang menyebabkan berlakunya pelanggaran itu mas ,0
Saya sebagai Ketua Polis Melaka tidak akan lindungi mana-mana pegawai dan anggota yang bertugas di Melaka sama ada… https://t.co/XzYcyDXL07,ketua saya sebagai polis melaka tidak akan lindungi mana-mana pegawai dan anggota yang bertugas di melaka ada ... <url>,saya sebagai ketua polis melaka tidak akan lindungi mana mana pegawai dan anggota yang bertugas di melaka sama ada ,0
"Ketua Polis daerah Port Dickson, Superintendan Aidi Sham Mohamed berkata, suspek berusia 25 tahun dipercayai bertin… https://t.co/VHUVmImJ1L","ketua polis daerah pelabuhan dickson, superintendan aida syam mohamed berkata, suspek <nombor> tahun dipercayai bertin... <url>",ketua polis daerah port dickson superintendan aidi sham mohamed berkata suspek berusia tahun dipercayai bertin ,0
"Antara kawasan tersebut adalah di Maahad Tahfiz Al Azhari (MTAZ) Machang, Kelantan dan Kampung Bangkahulu, Gemas, N… https://t.co/gki0rEnP8F","antara kawasan adalah di maahad tahfiz al azhar ( <allcaps>matz</allcaps>) machang, kelantan dan bangkahulu kampung, gemas, dan... <url>",antara kawasan tersebut adalah di maahad tahfiz al azhari mtaz machang kelantan dan kampung bangkahulu gemas n ,0
"PKPD di Kampung Bangkahulu, Gemas dan 7 penempatan di Raub esok
#sinarharian 
https://t.co/IYRAWlvbl6","<allcaps>pkpd</allcaps> di kampung bangkahulu, gemas dan <number> penempatan di raub <hashtag>sinarharian</hashtag> <url>",pkpd di kampung bangkahulu gemas dan penempatan di raub esok ,0
"""Saya mengesahkan menerima motosikal jenis Honda Dash 125 yang disumbangkan oleh YB Steven Sim dan saya yang minta… https://t.co/hrJEgBggPG","""Saya menerima jenis motosikal honda dash <number> yang tidak digunakan oleh yb steven sim dan yang ... <url>", saya mengesahkan menerima motosikal jenis honda dash yang disumbangkan oleh yb steven sim dan saya yang minta ,0
"Projek rumah terbengkalai dibina semula selepas Aidilfitri
#sinarharian 
https://t.co/zwFFuMSOTc",projek rumah terbengkulu dibina semula selepas aidilfitri <hashtag>sinarharian</hashtag> <url>,projek rumah terbengkalai dibina semula selepas aidilfitri ,1
"Harga RON97, RON95 dan diesel kekal

Harga runcit bagi petrol RON97 serta RON95, dan diesel kekal tidak berubah mas… https://t.co/ZH6uSqXgDh","harga ron97, ron95 dan diesel kekal harga runcit untuk petrol ron97 dan juga ron95, dan diesel kekal tidak berubah mas ... <url>",harga ron ron dan diesel kekalharga runcit bagi petrol ron serta ron dan diesel kekal tidak berubah mas ,1
"Perkembangan itu amat membimbangkan, malah sebahagian pakar ekonomi turut lontarkan pandangan ia tindakan kurang ce… https://t.co/6OuLpHo9Qf","amat membimbangkan, malah pakar ekonomi lonturut tarkan ia bertindak kurang... <url>",perkembangan itu amat membimbangkan malah sebahagian pakar ekonomi turut lontarkan pandangan ia tindakan kurang ce ,-1
"Mahkamah turut mengarahkan Arunakirinathan membuat permohonan maaf secara bertulis dan terbuka.
#sinarharian 
https://t.co/ntc7VKteAr",mahkamah mengarahkan arunakirinathan membuat permohonan maaf secara bertulis dan terbuka . <hashtag>sinarharian</hashtag> <url>,mahkamah turut mengarahkan arunakirinathan membuat permohonan maaf secara bertulis dan terbuka ,-1
Muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan SOP oleh mas… https://t.co/jlAtmMuITy,muhyiddin gesa agensi pengat kuasa menggunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan <allcaps> cara pengetatandalian piawai</allcaps> mas oleh ... <url>,muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan sop oleh mas ,1
Menteri atau Exco kerajaan negeri yang mempunyai kuasa dan terlibat secara langsung dalam penyediaan SOP diminta le… https://t.co/wFSGbg2Zhk,menteri atau exco kerajaan negeri yang mempunyai kuasa kuasa dan terlibat langsung dalam penyediaan <allcaps> tatacara pengendalian piawai</allcaps> dimeminta lah... <url>,menteri atau exco kerajaan negeri yang mempunyai kuasa dan terlibat secara langsung dalam penyediaan sop diminta le ,0
"Abdul Hamid berkata, peniaga boleh merayu dan berikan faktor-faktor yang boleh dimaafkan atau diringankan jumlah ko… https://t.co/mvCJAdv6P0","abdul hamid berkata, penniaga boleh merayu dan bersafaktor-faktor yang boleh dimaafkan atau diringankan jumlah kamu ... <url>",abdul hamid berkata peniaga boleh merayu dan berikan faktor faktor yang boleh dimaafkan atau diringankan jumlah ko ,1
"Masing-masing kekal pada harga RM2.58, RM2.05 dan RM2.15 seliter bagi tempoh 29 April hingga 5 Mei.
#sinarharian… https://t.co/nkW25XizQL","kekal-masing pada harga <money>, <money> dan <money> seliter bagi <date> hingga <date> . <hashtag> sinarharian</hashtag> ... <url>",masing masing kekal pada harga rm rm dan rm seliter bagi tempoh april hingga mei ,1
"Status #Covid19 di Malaysia pada 28 April 2021

Klik https://t.co/rVDyUYeNlE untuk baca berita penuh

#SinarHarian… https://t.co/Jeyqx6sgRl",status <hashtag>covid19</hashtag> di malaysia pada <date>klik <url> untuk baca berita penuh <hashtag>sinarharian</hashtag>... <url>,status di malaysia pada april klik untuk baca berita penuh ,0
"Ammar Aiman, 23 tahun, berkata kompaun dikeluarkan atas namanya itu di bawah kesalahan tidak mengawal pelanggan men… https://t.co/lmANkxMpkd","ammar aiman, <number>tahun, berkata kompaun dikeluarkan atas namanya di bawah ini tidak mengawal pelanggan... <url>",ammar aiman tahun berkata kompaun dikeluarkan atas namanya itu di bawah kesalahan tidak mengawal pelanggan men ,-1
"Kata @Khairykj , CITF Pahang buat keputusan untuk berikan vaksin kepada pekerja di sektor pelancongan melibatkan 56… https://t.co/buNyrSOJS7","kata <user>, <allcaps>citwf</allcaps> pahang buat keputusan buat bersayakan vaksin kepada pekerja di sektor melibatkan pelancongan <number>... <url>",kata citf pahang buat keputusan untuk berikan vaksin kepada pekerja di sektor pelancongan melibatkan ,0
"""Pejabat Kesihatan sedang dalam proses untuk mengemukakan fakta kes kepada Ibu Pejabat Kementerian Kesihatan Malays… https://t.co/9Xe8nEVvCJ","""pejabat kesihatan sedang dalam proses untuk mengmukakan fakta kes kepada ibu kementerian kesihatan pegawai malas... <url>", pejabat kesihatan sedang dalam proses untuk mengemukakan fakta kes kepada ibu pejabat kementerian kesihatan malays ,0
"""Saya minta DBKL siasat dan semak siapa yang bayar dan tidak bayar, tidak adil buat kami yang membayar tapi terkena… https://t.co/JWX2eCUpzm","""Saya meminta saya <allcaps>dbkl</allcaps> siasat dan semak siapa yang bayar dan tidak bayar, tidak adil buat kami yang membayar ... <url>", saya minta dbkl siasat dan semak siapa yang bayar dan tidak bayar tidak adil buat kami yang membayar tapi terkena ,-1
"Peniaga colek tersebut antara tiga individu yang dikenakan kompaun RM50,000 di Kelantan #sinarharian

https://t.co/3AznYNbOQK",penniaga colek antara tiga individu yang kompaun <money>di kelantan <hashtag>sinarharian</hashtag> <url>,peniaga colek tersebut antara tiga individu yang dikenakan kompaun rm di kelantan ,-1
"Kes baharu #Covid19 mengikut negeri di Malaysia pada 28 April 2021

Klik https://t.co/ZBMnKxBF1u di Bio atau… https://t.co/qHeNBfztKu",kes baharu <hashtag>covid19</hashtag> mengikut negeri di malaysia pada <date>klik <url>mengikut bio atau ... <url>,kes baharu mengikut negeri di malaysia pada april klik di bio atau ,-1
Kedua-dua suspek itu diburu sejak lapan bulan lalu kerana dikehendaki selepas terlibat dengan penipuan terhadap seo… https://t.co/QdSjFviCdi,kedua-dua suspek diburu sejak lapan bulan lalu kerana dikehendaki selepas terlibat dengan penipuan seo ... <url>,kedua dua suspek itu diburu sejak lapan bulan lalu kerana dikehendaki selepas terlibat dengan penipuan terhadap seo ,-1
Mauricio Pochettino secara terbuka akui Pep Guardiola sebagai antara jurulatih terbaik di dunia ketika ini.… https://t.co/WzIQnvwLpJ,mauricio pochettino terbuka akui pep guardiola sebagai jurulatih antara ketika di dunia ini . ... <url>,mauricio pochettino secara terbuka akui pep guardiola sebagai antara jurulatih terbaik di dunia ketika ini ,1
"Program akan turut disertai agensi dan badan kebajikan yang berdaftar di bawah kementerian pembangunan wanita keluarga dan masyarakat. #sinarharian #WorldQuranHour

 https://t.co/NtilL8lZF6",program akan turut disertai agensi dan badan kebajikan yang berdaftar di bawah <allcaps> kementerian pembangunan wanita keluarga dan masyarakat</allcaps> . <hashtag> sinarharian</hashtag> <hashtag> worldquranhour</hashtag> <url>,program akan turut disertai agensi dan badan kebajikan yang berdaftar di bawah kementerian pembangunan wanita keluarga dan masyarakat ,0
Tindakan pantas kerajaan PN berhubung isu kompaun yang meresahkan sesetengah rakyat tunjukkan keprihatinan terhadap… https://t.co/gM1cAwaFeM,tindakan pantas kerajaan pun berhubung isu kompaun yang meresahkan rakyat sesetengah tunjukkan keprihatinan terhadap ... <url>,tindakan pantas kerajaan pn berhubung isu kompaun yang meresahkan sesetengah rakyat tunjukkan keprihatinan terhadap ,-1
"KKM berwaspada dengan peningkatan kes #COVID19 terutamanya di Sarawak, Kelantan dan Selangor selepas purata pelapor… https://t.co/nR2YGHd4c1","<allcaps>kkm</allcaps> berwaspada dengan peningkatan kes <hashtag>covid19</hashtag> terutamanya di sarawak, kelantan dan selangor purata selepas pelapor ... <url>",kkm berwaspada dengan peningkatan kes terutamanya di sarawak kelantan dan selangor selepas purata pelapor ,-1
Saya akan ambil tindakan itu jika tidak mendapat pengurangan ke atas jumlah kompaun tersebut. - Mansah… https://t.co/L1C6eY3fQL,Saya ambil tindakan jika tidak mendapat pengurangan ke atas kompaun itu. - manisah ... <url>,saya akan ambil tindakan itu jika tidak mendapat pengurangan ke atas jumlah kompaun tersebut mansah ,0
"Pengarah urusan sebuah syarikat pemaju hartanah, Azlan AL Amin Group Holdings sendirian berhad, ambil tindakan undang-undang… https://t.co/CZbwSLCmNi","pengarah sebuah syarikat pemaju hartanah, azlan al amin holdings sendirian berhad, ambil undang-undang tindakan-undang... <url>",pengarah urusan sebuah syarikat pemaju hartanah azlan al amin group holdings sendirian berhad ambil tindakan undang undang ,-1
Kebanyakan kebakaran terjadi akibat penggunaan tenaga elektrik berlebihan selain kecuaian ketika kendali perkakas e… https://t.co/btL07PpH5a,Kebakaran berlaku akibat penggunaan tenaga elektrik selain kecuaian ketika kendali perkakas e... <url>,kebanyakan kebakaran terjadi akibat penggunaan tenaga elektrik berlebihan selain kecuaian ketika kendali perkakas e ,-1
"Bagi kemasukan murid ke Tingkatan Satu sekolah, seperti mana yang kita laksanakan tahun ini, ia akan dibuat berdasa… https://t.co/cNfQLRmofc","bagi kemasukan ke tingkatan satu sekolah, seperti mana kita laksanakan tahun ini, ia akan dibuat berdasa... <url>",bagi kemasukan murid ke tingkatan satu sekolah seperti mana yang kita laksanakan tahun ini ia akan dibuat berdasa ,0
"Selangor mencatatkan kes harian tertinggi dengan 1,019 kes diikuti Kelantan 523 kes.
#sinarharian 
https://t.co/9ky5IRoHKV",selangor mencatatkan kes tertinggi dengan <number> kes diikuti kelantan <number> kes. <hashtag> sinarharian</hashtag> <url>,selangor mencatatkan kes harian tertinggi dengan kes diikuti kelantan kes ,-1
"Pihak GPMS menyambut baik pengumuman dibuat Menteri Pendidikan, Senator Datuk Dr Mohd Radzi Md Jidin berhubung pema… https://t.co/pPbh1n8Fzu","pihak <allcaps>gpms</allcaps> menyambut baik pengumuman menteri pendidikan, senator datuk dr mohd radzi md jidin pema... <url>",pihak gpms menyambut baik pengumuman dibuat menteri pendidikan senator datuk dr mohd radzi md jidin berhubung pema ,1
"UPSR mansuh sepenuh, PT3 dibatalkan tahun ini

Klik https://t.co/f8jZ1Z4sOv untuk baca berita penuh.

#SinarHarian… https://t.co/mOpfo6d1Gz","<allcaps> upsr</allcaps> mansuh sepenuh, pt3 dibatalkan tahun ini klik <url> untuk baca berita penuh . <hashtag> sinarharian</hashtag> ... <url>",upsr mansuh sepenuh pt dibatalkan tahun iniklik untuk baca berita penuh ,-1
"Mangsa dilaporkan hilang selepas lori 10 tan yang dipandunya terjunam ke dalam sungai #sinarharian

https://t.co/rkMPsUOieY",mangsa hilang selepas lori <number> Tan yang dipandunya terjunam ke dalam sungai <hashtag>sinarharian</hashtag> <url>,mangsa dilaporkan hilang selepas lori tan yang dipandunya terjunam ke dalam sungai ,-1
"Abdul Hamid berkata, peniaga boleh merayu dan berikan faktor-faktor yang boleh dimaafkan atau diringankan jumlah ko… https://t.co/u9sFuQHrtg","abdul hamid berkata, penniaga boleh merayu dan bersafaktor-faktor yang boleh dimaafkan atau diringankan jumlah kamu ... <url>",abdul hamid berkata peniaga boleh merayu dan berikan faktor faktor yang boleh dimaafkan atau diringankan jumlah ko ,1
"Azalina berkata, kenyataan yang diberikan oleh Takiyuddin bagi menjawab kerisauan rakyat terhadap salah guna kuasa… https://t.co/FvA5M2HNnN","azlina berkata, kenyataan yang diberikan oleh takiyuddin bagi menjawab kerisauan rakyat salah guna guna kuasa... <url>",azalina berkata kenyataan yang diberikan oleh takiyuddin bagi menjawab kerisauan rakyat terhadap salah guna kuasa ,1
"Menteri Besar, Datuk Seri Aminuddin Harun berkata, ia melibatkan seramai 340 individu yang sepatutnya menerima vaks… https://t.co/e5xj51QzFe","menteri besar, datuk seri aminuddin harun berkata, ia melibatkan <number> individu yang sepatutnya menerima vokasi... <url>",menteri besar datuk seri aminuddin harun berkata ia melibatkan seramai individu yang sepatutnya menerima vaks ,-1
Malaysia ketika ini telah membuat tempahan vaksin #COVID19 yang mencukupi bagi kegunaan penduduknya.' - @Khairykj… https://t.co/eebDFaSspi,malaysia ketika ini telah membuat tempahan vaksin <hashtag> covid19</hashtag> yang mencukupi untuk kegunaan penduduknya . ' - <user> ... <url>,malaysia ketika ini telah membuat tempahan vaksin yang mencukupi bagi kegunaan penduduknya ,1
"Pengarah Perikanan negeri, Zaki Mokri berkata, jaminan diberikan selepas pemeriksaan mendapati kawasan di sepanjang… https://t.co/UKA3QWFCUf","pengarah negeri, zaki mori berkata, jaminan diberikan selepas pemeriksaan mendapati perikanan sepanjang kawasan... <url>",pengarah perikanan negeri zaki mokri berkata jaminan diberikan selepas pemeriksaan mendapati kawasan di sepanjang ,0
