Raw,CD-Malaya,CD-RE,Polarity
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
#JusticeforGanapathy https://t.co/4HCmGi8IHk,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
"A Malaysian Tamil man, Ganapathy spent over twelve days in police custody. He was beaten by the police with a rubbe… https://t.co/yxGZMCvUwX","['a malaysian tamil lelaki, ganapathy dibelanjakan belas dua hari lagi polis masuk. dia adalah dipukul dengan polis yang masuk dengan ubbe ... <url>']",a malaysian tamil man ganapathy spent over twelve days in police custody he was beaten by the police with a rubbe ,-1
"#JusticeforGanapathy 

 #JusticeforGanapathy

 #JusticeforGanapathy 

 #JusticeforGanapathy 

 #JusticeforGanapathy",['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag> <justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag>'],,0
"Boleh saya tahu apa dah jadi dengan polis di Malaysia sekarang ni @PDRMsia @SyedSaddiq ?

#JusticeforGanapathy",['Saya boleh tahu apa yang saya buat dengan polis di malaysia sekarang <user> <user> ? <hashtag> justiceforganapathy</hashtag>'],boleh saya tahu apa dah jadi dengan polis di malaysia sekarang ni ,0
"this is so heartbreaking. may justice prevails 😔
#JusticeforGanapathy https://t.co/nu96bj1Cm2",['ini jadi menayat hati. mei justice menang <hashtag> justiceforganapathy </hashtag> <url>'],this is so heartbreaking may justice prevails ,-1
"police brutality. 
racism semakin menjadi di kalangan kita. Mohon keadilan buat Ganapathy serta ahli keluarga nya. 
#JusticeforGanapathy",['polis kekejaman. perkauman semakin menjadi kita. mohon keadilan buat ganapathy dan juga ahli keluarga juga . <hashtag> justiceforganapathy</hashtag>'],police brutality racism semakin menjadi di kalangan kita mohon keadilan buat ganapathy serta ahli keluarga nya ,-1
"I feel really heavy thinking of the family lost their father/son/brother for no reason. 

#JusticeforGanapathy",['rasa saya-berat fikir fikir benar yang keluarga mereka hilang bapa / anak / saudara lelaki untuk tidak kerana. <hashtag> justiceforganapathy </hashtag>'],i feel really heavy thinking of the family lost their father son brother for no reason ,-1
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
@aligatie @aligatie #JusticeforGanapathy ✊🏽,['<user> <user> <hashtag> justiceforganapathy</hashtag>'],,0
"Police brutality exists.
Racism in Malaysia just took a step for the worse.
We must fight for justice! #JusticeforGanapathy",['kekejaman polis wujud. perkauman malaysia mengambil langkah untuk yang lebih buruk. kami mesitilah untuk menentang keadilan ! <hashtag> justiceforganapathy</hashtag>'],police brutality exists racism in malaysia just took a step for the worse we must fight for justice ,-1
#JusticeforGanapathy https://t.co/86SkjGiNFH,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
#JusticeforGanapathy https://t.co/EGUHecD8lH,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
LOUDER #JusticeforGanapathy https://t.co/VAmfFoRIdN,['<allcaps> loder</allcaps> <hashtag> justiceforganapathy</hashtag> <url>'],louder ,0
You know what they can crap all they want for all I care. The movement is gaining traction and that’s all that matt… https://t.co/UysHGqpnOi,['awak tahu apa yang mereka boleh omong kosong semua mereka mahu untuk saya jaga. yang pergerakan adalah daya daya tarikan dan semua itu matt ... <url>'],you know what they can crap all they want for all i care the movement is gaining traction and that s all that matt ,-1
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
"POLICE BRUTALITY!!!! RIGHR IN THE HOLY MONTH OF RAMADHAN!!!! acab this country's fucked 😐

#JusticeforGanapathy i h… https://t.co/NvafVNsu8w","[""<allcaps>polis kekejaman</allcaps> ! <repeated> <allcaps> righr masuk yang holy bulan daripada ramadan</allcaps> ! <repeated> hecabe this country's fucked <hashtag> justiceforganapathy</hashtag> h ... <url>""]",police brutality righr in the holy month of ramadhan acab this country s fucked i h ,-1
"#Design Your #WordPress #Website Within 24 Hour !!

FIND ME ON FIVERR -- https://t.co/43UmbSSExk

#WordPress… https://t.co/cquBMj7jzA",['<hashtag> reka bentuk </hashtag> awak <hashtag> wordpress</hashtag> <hashtag> website</hashtag> dalam <number> jam ! <repeated> <allcaps> cari saya pada fiverr</allcaps> - - <url> <hashtag> wordpress</hashtag> ... <url>'], your within hour find me on fiverr ,0
"tw // police brutality
tw // death
tw // blood
tw // beating 

#JusticeforGanapathy https://t.co/fGFJO8w0lb",['tahu / /polis kekejaman / /death tahu /darah tahu / / /beating <hashtag>justiceforganapathy</hashtag> <url>'],tw police brutalitytw deathtw bloodtw beating ,-1
"More reasons I don't go to Facebook, cause its just filled with racist, conspiracy theory spewing assholes… https://t.co/mVJKzzP4B0","['lebih lagi alasan saya tidak pergi ke facebook, sebab hanya diisi dengan rasi, konspirasi memuntahkan teori asshole ... <url>']",more reasons i don t go to facebook cause its just filled with racist conspiracy theory spewing assholes ,-1
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
Malaysia indians need justice come together join us at brickfields coming Saturday 7pm #JusticeforGanapathy… https://t.co/qhLbkwOPst,['malaysia indians keperluan justice bersama-sama kami menyertai brickfields coming sabtu <time> <hashtag> justiceforganapathy</hashtag>... <url>'],malaysia indians need justice come together join us at brickfields coming saturday pm ,-1
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
"#JusticeforGanapathy 
#JusticeforGanapathy 
#JusticeforGanapathy",['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag> <justiceforganapathy</hashtag>'],,0
"If we can't trust the government, police then who should we trust ? #JusticeforGanapathy","['jika kita tidak boleh mempercayai kerajaan yang, polis kemudian yang mempercayai kami ? <hashtag> justiceforganapathy </hashtag>']",if we can t trust the government police then who should we trust ,-1
"Real MALAYSIANS know that this is not about race but about everyone.

#JusticeforGanapathy",['sebenar <allcaps> malaysians</allcaps> itu tahu ini bukan kira-kira perlumbaan kira-kira-kira semua orang. <hashtag> justiceforganapathy</hashtag>'],real malaysians know that this is not about race but about everyone ,1
#JusticeforGanapathy https://t.co/6TWxEnd0sg,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
New game download hori hai getting over it  aap hmara Channel Styleytgamer Please Check out 👇👇👇… https://t.co/gMiOTyId0U,['permainan baru muat turun hore hai mendapat lebih ia asap hara saluran styleytgamer tolong semak keluar ... <url>'],new game download hori hai getting over it aap hmara channel styleytgamer please check out ,0
"https://t.co/gjD2IIyZUa
#LockHimUp #Warner #coronavirus #IndiaChoked #BioNTech #ParoNacional28A #WendyWilliams… https://t.co/kfReUP20Wh",['<url> <hashtag> lockhimup</hashtag> <hashtag> warner</hashtag> <hashtag> coronavirus</hashtag> <hashtag> indiachoked</hashtag> <hashtag> bioteknologi</hashtag> <hashtag> paronacional28a</hashtag> <hashtag> wendywilliams</hashtag> ... <url>'],,0
"#JusticeforGanapathy 
#JusticeforGanapathy",['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag>'],,0
"Dear Malaysia, nk ikut jejak langkah Amerika ke ? Seriously, what has happened to Malaysia ??? Please la, stop bein… https://t.co/KncNQfo1Au","['Malaysia sayang, nak ikut jejak amerika langkah ke? biar, apa betul telah berlaku malaysia ? <repeated>tolong lah, berhenti belin... <url>']",dear malaysia nk ikut jejak langkah amerika ke seriously what has happened to malaysia please la stop bein ,-1
Now we have Malaysia's attention. We have to get the world's attention now because we all know if within Malaysia i… https://t.co/vxLgrCgVt1,['sekarang kita ada perhatian malaysia. kita ada ke dapatkan yang menjadi perhatian dunia kerana kita semua tahu jika malaysia saya ... <url>'],now we have malaysia s attention we have to get the world s attention now because we all know if within malaysia i ,-1
"Forget your race and religion, fight for what truly matters. #JusticeforGanapathy","['lupa perlumbaan dan agama, melawan untuk apa yang penting. <hashtag> justiceforganapathy</hashtag>']",forget your race and religion fight for what truly matters ,-1
"#JusticeforGanapathy 
#PDRMgagal",['<hashtag>justiceforganapathy</hashtag> <hashtag>pdrmgagal</hashtag>'],,0
"These racist f**kers 
#JusticeforGanapathy https://t.co/qCENFVTRED",['ini rasi f**kers <censored> <hashtag> justiceforganapathy</hashtag> <url>'],these racist f kers ,-1
@Visalini_ #JusticeforGanapathy,['<user> <hashtag> justiceforganapathy</hashtag>'],,0
"Hot Beauty Payal Rajput
@PayalRajput_ @PayalRajputFan @payalrajputK1 @1315payalrajput #PayalRajput… https://t.co/hvGAvHqd36",['panas kecantikan paya rajput <user> <user> <user> <user> <hashtag> payalrajput</hashtag> ... <url>'],hot beauty payal rajput ,1
#JusticeforGanapathy ✊🏾✊🏾✊🏾,['<hashtag>justiceforganapathy</hashtag>'],,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
"As I know, none of the rapist who raped their own daughters or sisters never died in police custody, but...but... i… https://t.co/dQdUr3wG0c","['sebagai tahu saya, pemeran yang kosaan itu yang mengamuk anak perempuan atau saudara perempuan mereka tidak pernah mati masuk polis, tetapi. <ulangi> tetapi. <ulangi> saya ... <url>']",as i know none of the rapist who raped their own daughters or sisters never died in police custody but but i ,-1
#JusticeforGanapathy https://t.co/n3EeXoulfb,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
"@501Awani @VICE @malaysiakini can anyone from any news outlet cover this issue?
#JusticeforGanapathy… https://t.co/V7MUB1Z5nH",['<user> <user> <user> boleh dari mana-mana-berita menutup outlet isu ini ? <hashtag> justiceforganapathy</hashtag> ... <url>'], can anyone from any news outlet cover this issue ,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
He wasn't involved in gangsterism and this has nothing to do with gangsterism. And that's why we're fighting for ju… https://t.co/QmipvE8bX2,"[""dia tidak masuk ke gangsterisme dan ini tidak ada kaitan dengan gangsterisme. dan itu 's kenapa kami berjuang untuk bertarung dengan ju ... <url>""]",he wasn t involved in gangsterism and this has nothing to do with gangsterism and that s why we re fighting for ju ,0
"#JusticeforGanapathy 
#JusticeforGanapathy 
#JusticeforGanapathy 
#JusticeforGanapathy 
#JusticeforGanapathy",['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag> <justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag>'],,0
"Us Malaysians need to support each other, regardless of our background, race, religion and belief.  #JusticeforGanapathy","['kami malaysians keperluan untuk setiap latar lain, tanpa mengira kami belakang, bangsa, agama dan kepercayaan. <hashtag> justiceforganapathy</hashtag>']",us malaysians need to support each other regardless of our background race religion and belief ,1
Here's the good time to bring up the justice for those who kill by the police brutality in this country.… https://t.co/u6NHb4bU72,"[""di sini 's yang baik masa bawa bawa naik keadilan untuk itu yang bunuh dengan polis masuk ke negara ini. ... <url>""]",here s the good time to bring up the justice for those who kill by the police brutality in this country ,-1
"#JusticeforGanapathy
#JusticeforGanapathy
#JusticeforGanapathy https://t.co/CRBB9xLHRZ",['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag> <justiceforganapathy</hashtag> <url>'],,0
@SyedSaddiq #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy… https://t.co/LIckoZpJQG,['<user> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> ... <url>'],,0
@uniicorn23_ @__aaabby #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy… https://t.co/CC3OkwdqDY,['<user> <user> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> ... <url>'],,0
@Neelofa #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy… https://t.co/pxZEyN5uyV,['<user> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> ... <url>'],,0
#JusticeforGanapathy 😔😔,['<hashtag>justiceforganapathy</hashtag>'],,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
@aligatie #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy… https://t.co/CRP5GsRFo4,['<user> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> ... <url>'],,0
#JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy #JusticeforGanapathy… https://t.co/oYVN6WpN1i,['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag> <justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> ... <url>'],,0
"Custom Logo Animation for @sheakh_metul 
Need graphic related work? 
Just DM or order at https://t.co/BAdZHVXUZK… https://t.co/N9QRs7V2PR",['adat logo animasi untuk <user> grafik keperluan berkaitan ? demo atau perintah pada <url> <url>'],custom logo animation for need graphic related work just dm or order at ,0
"#JusticeforGanapathy
#JusticeforGanapathy #JusticeforGanapathy",['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag> <justiceforganapathy</hashtag>'],,0
"#JusticeforGanapathy
where is MIC PEMUDA?,RAJA KING,TAMIL ESWARAN ,NAVIN GOUNDER.oh ya they sibuk attacking non MIC NGO's.sorry to ask ya.","[""<hashtag>justiceforganapathy</hashtag> di mana adalah <allcaps> mic pemuda</allcaps> ? , <allcaps> raja</allcaps>, <allcaps> tamil eswaran</allcaps>, <allcaps> navi gunder</allcaps>. oh ya mereka sibuk menyerang bukan <allcaps> mic ngo</allcaps>'s. maaf tanya kepada ya.""]",where is mic pemuda raja king tamil eswaran navin gounder oh ya they sibuk attacking non mic ngo s sorry to ask ya ,0
"MALAYSIAN COME TOGETHER AND FIGHT FOR JUSTICE!
#JusticeforGanapathy https://t.co/MpL3VLJPdx",['<allcaps> malaysian datang bersama-sama-dan melawan untuk keadilan</allcaps> ! <hashtag> justiceforganapathy</hashtag> <url>'],malaysian come together and fight for justice ,1
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
"@FallonTonight @justinbieber @theroots #JusticeforGanapathy 
#JusticeforGanapathy
#JusticeforGanapathy… https://t.co/XKPFZgf6WP",['<user> <user> <user> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> ... <url>'],,0
"I criticized this fella a lot but this is an issue that I believe many politicians wouldn't want to talk about, but… https://t.co/4u720nli5P","['Saya mengkritik fellas ini banyak tetapi ini adalah isu yang saya percaya bahawa ahli politik tidak akan mahu bercakap kira-kira, tetapi ... <url>']",i criticized this fella a lot but this is an issue that i believe many politicians wouldn t want to talk about but ,-1
