,Raw,CD-RE,Polarity
21,"Pilih apa yang rakyat mahu..

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/7yUN6bFd4n",rakyat mahu petikan wacana semalam,0
22,"Dasar parti lebih penting..

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/SwaaKdMYHU",dasar parti penting petikan wacana semalam,0
23,"Jangan ulang salah laku PH..

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/Lunhw9xob0",Jangan ulang salah laku ph petikan wacana semalam,-1
24,"Rakyat adalah orang tengah...

(Petikan ucapan saya dalam Wacana @sinarharianSH  semalam..) 

#sinarharian… https://t.co/i6ivvH2qNa",rakyat rakyat rakyat tengah petikan wacana semalam,0
25,"Mahkamah Rayuan melanjutkan perbicaraan rayuan kes SRC bekas perdana menteri itu bagi tempoh sehari lagi, pada 6 Me… https://t.co/SHtEaxfmD9",mahkamah rayuan melanjutkan rayuan kes src bekas menteri perdana sehari 6,-1
26,"“Sekiranya tiada masalah, Haiqal dan Khairul Hafiz akan menjalani latihan dengan ‘gear tiga’ sebagai persediaan men… https://t.co/3MgzR8Wyka",tiada masalah haiqal khairul hafiz menjalani latihan tiga gear persediaan lelaki,1
27,"Sarawak merekodkan 416 kes baharu Covid-19, menjadikan jumlah keseluruhan meningkat kepada 29,377 kes dan enam kes… https://t.co/izycGpc7v2",sarawak merekodkan 416 kes baharu covid 19 menjadikan jumlah keseluruhan 29 kes meningkat 377 kes enam kes,-1
28,"Niat seorang pengasuh untuk mendapatkan pinjaman dalam talian berakhir dengan kerugian
#sinarharian 
https://t.co/1Pk3FBgh2Z",niat pengasuh untuk mendapatkan pinjaman talian berakhir kerugian,-1
29,Penutupan itu memastikan kerja sanitasi dibuat dan memberi peluang kepada pelajar untuk membuat saringan. -  Dr Sha… https://t.co/9W6jD9ps4i,penutupan memastikan sanitasi memberi peluang pelajar untuk membuat saringan sha,-1
30,Rakaman perbuatan suspek yang berbaju hijau berlegar-legar di lokasi untuk mendekati mangsa turut tular di laman so… https://t.co/44alUUaqEl,rakaman perbuatan berbaju hijau berlegar legar lokasi untuk mendapatkan tular laman laman web,-1
31,Perbuatan guru tersebut jelas tidak profesional dan bertentangan dengan etika kerja yang sepatutnya diamalkan indiv… https://t.co/yr5OZGYKKO,perbuatan guru jelas tidak profesional bertentangan etika kerja sepatutnya diamalkan indiv,-1
32,Pertumbuhan itu didorong kenaikan indeks perlombongan yang melonjak sebanyak 32 peratus berbanding -11 peratus pada… https://t.co/73DUW6m6QD,pertumbuhan mendorong kenaikan indeks perlombongan melonjak 32 peratus berbanding 11 peratus berbanding berbanding,-1
33,Hasil siasatan mendapati mangsa bersama kakaknya telah dibawa ke sekolah di sekitar Sungai Tiram oleh neneknya yang… https://t.co/TkPlrqb55d,hasil siasatan mendapati kakaknya dibawa sekolah sungai tiram neneknya,-1
34,PDRM merekodkan purata 180 kes kemalangan setiap hari di KL sejak arahan bekerja dari rumah terbatal bermula 1 Apri… https://t.co/jDZ07PGVl7,pdrm merekodkan 180 kes purata kemalangan hari kl bekerja arahan rumah terbatal bermula 1 apri,-1
35,Mereka perlu melihat faktor-faktor penyebab dan situasi semasa yang menyebabkan berlakunya pelanggaran itu. -  Mas… https://t.co/BogYs9mBcy,melihat faktor penyebab situasi menyebabkan berlakunya pelanggaran,0
36,Saya sebagai Ketua Polis Melaka tidak akan lindungi mana-mana pegawai dan anggota yang bertugas di Melaka sama ada… https://t.co/XzYcyDXL07,ketua polis melaka tidak lindungi pegawai anggota bertugas melaka ada ada ada,0
37,"Ketua Polis daerah Port Dickson, Superintendan Aidi Sham Mohamed berkata, suspek berusia 25 tahun dipercayai bertin… https://t.co/VHUVmImJ1L",ketua polis pelabuhan dickson superintendan aidi sham mohamed berkata suspek 25 tahun bertin dipercayai,0
38,"Antara kawasan tersebut adalah di Maahad Tahfiz Al Azhari (MTAZ) Machang, Kelantan dan Kampung Bangkahulu, Gemas, N… https://t.co/gki0rEnP8F",kawasan maahad tahfiz al azhari mtaz machang kelantan kampung bangkahulu gemas n,0
39,"PKPD di Kampung Bangkahulu, Gemas dan 7 penempatan di Raub esok
#sinarharian 
https://t.co/IYRAWlvbl6",pkpd kampung bangkahulu gemas 7 penempatan raub esok,0
40,"""Saya mengesahkan menerima motosikal jenis Honda Dash 125 yang disumbangkan oleh YB Steven Sim dan saya yang minta… https://t.co/hrJEgBggPG",mengesahkan menerima motosikal jenis honda dash 125 tidak digunakan yb steven sim minta,0
41,"Projek rumah terbengkalai dibina semula selepas Aidilfitri
#sinarharian 
https://t.co/zwFFuMSOTc",projek rumah terbengkalai dibina selepas aidilfitri,1
42,"Harga RON97, RON95 dan diesel kekal

Harga runcit bagi petrol RON97 serta RON95, dan diesel kekal tidak berubah mas… https://t.co/ZH6uSqXgDh",harga ron97 runcit 95 diesel kekal harga petrol ron97 ron95 diesel kekal tidak berubah mas berubah,1
43,"Perkembangan itu amat membimbangkan, malah sebahagian pakar ekonomi turut lontarkan pandangan ia tindakan kurang ce… https://t.co/6OuLpHo9Qf",membimbangkan pakar ekonomi pakar ekonomi lontarkan bertindak kurang maju,-1
44,"Mahkamah turut mengarahkan Arunakirinathan membuat permohonan maaf secara bertulis dan terbuka.
#sinarharian 
https://t.co/ntc7VKteAr",mahkamah mengarahkan arunakirinathan membuat permohonan maaf secara bertulis terbuka,-1
45,Muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan SOP oleh mas… https://t.co/jlAtmMuITy,muhyiddin gesa penguat agensi kuasa menggunakan pendekatan berhikmah memastikan pematuhan sop mas,1
46,Menteri atau Exco kerajaan negeri yang mempunyai kuasa dan terlibat secara langsung dalam penyediaan SOP diminta le… https://t.co/wFSGbg2Zhk,menteri exco kerajaan negeri mempunyai kuasa kuasa terlibat langsung penyediaan sop diminta le,0
47,"Abdul Hamid berkata, peniaga boleh merayu dan berikan faktor-faktor yang boleh dimaafkan atau diringankan jumlah ko… https://t.co/mvCJAdv6P0",abdul hamid berkata peniaga merayu faktor faktor faktor dimaafkan diringankan jumlah ko,1
48,"Masing-masing kekal pada harga RM2.58, RM2.05 dan RM2.15 seliter bagi tempoh 29 April hingga 5 Mei.
#sinarharian… https://t.co/nkW25XizQL",kekal harga rm2 58 rm2 05 rm2 15 seliter tempoh 29 april 5 mei,1
49,"Status #Covid19 di Malaysia pada 28 April 2021

Klik https://t.co/rVDyUYeNlE untuk baca berita penuh

#SinarHarian… https://t.co/Jeyqx6sgRl",status malaysia 28 april 2021 klik untuk baca berita penuh,0
50,"Ammar Aiman, 23 tahun, berkata kompaun dikeluarkan atas namanya itu di bawah kesalahan tidak mengawal pelanggan men… https://t.co/lmANkxMpkd",ammar aiman 23 tahun berkata kompaun dikeluarkan atas namanya bawah kesalahan tidak mengawal pelanggan lelaki,-1
51,"Kata @Khairykj , CITF Pahang buat keputusan untuk berikan vaksin kepada pekerja di sektor pelancongan melibatkan 56… https://t.co/buNyrSOJS7",kata citf pahang keputusan untuk berikan vaksin pekerja sektor pelancongan melibatkan 56,0
52,"""Pejabat Kesihatan sedang dalam proses untuk mengemukakan fakta kes kepada Ibu Pejabat Kementerian Kesihatan Malays… https://t.co/9Xe8nEVvCJ",pejabat kesihatan proses mengemukakan fakta ibu pejabat kementerian kesihatan malays,0
53,"""Saya minta DBKL siasat dan semak siapa yang bayar dan tidak bayar, tidak adil buat kami yang membayar tapi terkena… https://t.co/JWX2eCUpzm",Saya minta dbkl siasat semak bayar tidak bayar adil membayar terkena,-1
54,"Peniaga colek tersebut antara tiga individu yang dikenakan kompaun RM50,000 di Kelantan #sinarharian

https://t.co/3AznYNbOQK",peniaga colek tiga individu kompaun rm50 000 kelantan,-1
55,"Kes baharu #Covid19 mengikut negeri di Malaysia pada 28 April 2021

Klik https://t.co/ZBMnKxBF1u di Bio atau… https://t.co/qHeNBfztKu",kes baharu negeri mengikut malaysia 28 April 2021 klik bio,-1
56,Kedua-dua suspek itu diburu sejak lapan bulan lalu kerana dikehendaki selepas terlibat dengan penipuan terhadap seo… https://t.co/QdSjFviCdi,dua kali suspek diburu lapan bulan dikehendaki terlibat penipuan seo,-1
57,Mauricio Pochettino secara terbuka akui Pep Guardiola sebagai antara jurulatih terbaik di dunia ketika ini.… https://t.co/WzIQnvwLpJ,mauricio pochettino secara terbuka terbuka akui pep guardiola jurulatih terbaik dunia,1
58,"Program akan turut disertai agensi dan badan kebajikan yang berdaftar di bawah KPWKM. #sinarharian #WorldQuranHour

 https://t.co/NtilL8lZF6",program turut disertai agensi badan kebajikan berdaftar bawah kpwkm,0
59,Tindakan pantas kerajaan PN berhubung isu kompaun yang meresahkan sesetengah rakyat tunjukkan keprihatinan terhadap… https://t.co/gM1cAwaFeM,tindakan kerajaan pn isu berhubung kompaun meresahkan sesetengah tunjukkan keprihatinan,-1
60,"KKM berwaspada dengan peningkatan kes #COVID19 terutamanya di Sarawak, Kelantan dan Selangor selepas purata pelapor… https://t.co/nR2YGHd4c1",kkm berwaspada peningkatan kes terutamanya sarkelantan selangor selepas purata pelapor,-1
61,Saya akan ambil tindakan itu jika tidak mendapat pengurangan ke atas jumlah kompaun tersebut. - Mansah… https://t.co/L1C6eY3fQL,Saya ambil tindakan tidak mendapat pengurangan atas kompaun mansah,0
62,"Pengarah urusan sebuah syarikat pemaju hartanah, Azlan AL Amin Group Holdings Sdn Bhd, ambil tindakan undang-undang… https://t.co/CZbwSLCmNi",Nak tahu berlaku rumah,-1
63,Kebanyakan kebakaran terjadi akibat penggunaan tenaga elektrik berlebihan selain kecuaian ketika kendali perkakas e… https://t.co/btL07PpH5a,kebakaran kebakaran terjadi akibat penggunaan tenaga elektrik kecuaian kendali perkakas e,-1
64,"Bagi kemasukan murid ke Tingkatan Satu sekolah, seperti mana yang kita laksanakan tahun ini, ia akan dibuat berdasa… https://t.co/cNfQLRmofc",Bagi kemasukan murid tingkatan satu sekolah laksanakan tahun berdaftar sa,0
65,"Selangor mencatatkan kes harian tertinggi dengan 1,019 kes diikuti Kelantan 523 kes.
#sinarharian 
https://t.co/9ky5IRoHKV",selangor mencatatkan kes tertinggi 1 019 kes diikuti kelantan 523 kes,-1
66,"Pihak GPMS menyambut baik pengumuman dibuat Menteri Pendidikan, Senator Datuk Dr Mohd Radzi Md Jidin berhubung pema… https://t.co/pPbh1n8Fzu",pihak gpms menyambut baik pengumuman menteri pendidikan senator datuk mohd radzi md jidin berhubung pema,1
67,"UPSR mansuh sepenuh, PT3 dibatalkan tahun ini

Klik https://t.co/f8jZ1Z4sOv untuk baca berita penuh.

#SinarHarian… https://t.co/mOpfo6d1Gz",upsr mansuh sepenuhnuhnuh pt3 dibatalkan tahun klik untuk baca berita penuh,-1
68,"Mangsa dilaporkan hilang selepas lori 10 tan yang dipandunya terjunam ke dalam sungai #sinarharian

https://t.co/rkMPsUOieY",hilang lori 10 tan dipandunya terjunam sungai,-1
69,"Abdul Hamid berkata, peniaga boleh merayu dan berikan faktor-faktor yang boleh dimaafkan atau diringankan jumlah ko… https://t.co/u9sFuQHrtg",abdul hamid berkata peniaga merayu faktor faktor faktor dimaafkan diringankan jumlah ko,1
70,"Azalina berkata, kenyataan yang diberikan oleh Takiyuddin bagi menjawab kerisauan rakyat terhadap salah guna kuasa… https://t.co/FvA5M2HNnN",azalina berkata kenyataan diberikan takiyuddin untuk menjawab kerisauan rakyat salah guna guna kuasa kuasa kuasa kuasa,1
71,"Menteri Besar, Datuk Seri Aminuddin Harun berkata, ia melibatkan seramai 340 individu yang sepatutnya menerima vaks… https://t.co/e5xj51QzFe",Menteri besar datuk seri aminuddin harun berkata melibatkan 340 individu sepatutnya vaks,-1
72,Malaysia ketika ini telah membuat tempahan vaksin #COVID19 yang mencukupi bagi kegunaan penduduknya.' - @Khairykj… https://t.co/eebDFaSspi,malaysia membuat tempahan vaksin mencukupi untuk kegunaan penduduknya,1
73,"Pengarah Perikanan negeri, Zaki Mokri berkata, jaminan diberikan selepas pemeriksaan mendapati kawasan di sepanjang… https://t.co/UKA3QWFCUf",pengarah negeri zaki mokri berkata diberikan jaminan diberikan selepas pemeriksaan kawasan perikanan,0
74,"Hanafi Zulkapli dipilih sebagai Ketua Pemuda PN
#sinarharian
https://t.co/hZCcmSLMgo",hanafi zulkapli dipilih ketua ketua pemuda pn,1
75,Christian Pulisic terlebih dulu meletakkan pelawat di depan pada minit ke-14 sebelum Karim Benzema menyamakan kedud… https://t.co/Pw8izHMF8G,christian pulisic meletakkan pelawat minit 14 karim benzema kedud,0
76,"Menteri Besar, Datuk Seri Aminuddin Harun berkata, pembayaran akan dibuat pada 3 Mei ini dan ia melibatkan jumlah k… https://t.co/WdNRMKp7xu",Menteri besar datuk seri aminuddin harun berkata dibuat 3 mei melibatkan jumlah ok,0
77,"Mayat seorang lelaki ditemui terapung di dalam kolam tadahan Benteng 2 Segambut
#sinarharian 

https://t.co/9SORB68WUH via SinarOnline",mayat terapung kolam tadahan benteng 2 segambut sinaronline,-1
78,Muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan SOP oleh mas… https://t.co/II1Ao5Um7p,muhyiddin gesa penguat agensi kuasa menggunakan pendekatan berhikmah memastikan pematuhan sop mas,-1
79,"Suspek berusia 40 tahun telah ditahan pada jam 12.45 tengah hari. #sinarharian

https://t.co/DL7zViAT1U",suspek 40 tahun ditahan jam 12 jam 45 tengah hari,1
80,Kelonggaran itu diberikan bagi memberi peluang kepada ibu bapa membawa anak-anak mereka mencari persiapan sempena s… https://t.co/6fOwqn6Nqn,kelonggaran diberikan untuk memberi peluang ibu bapa bapa bapa anak anak mencari apan sempena,1
81,Elemen dana dan sumbangan politik perlu dikawal dengan lebih efektif serta merangkumi perspektif yang lebih meluas.… https://t.co/K1nR2DBLGc,elemen dana sumbangan politik perlu dikawal berkesan merangkumi perspektif meluas,1
82,"Menteri Besar, Muhammad Sanusi Md Nor berkata, jumlah keseluruhan bantuan berkenaan adalah sebanyak RM5.3 juta yang… https://t.co/dwhcXOqCdY",Menteri besar muhammad sanusi md mengatakan jumlah bantuan keseluruhan 3 juta,1
83,"Lelaki itu ditahan dalam satu serbuan di kawasan Hentian Rehat dan Rawat Gunung Semanggol, Bagan Serai pada Selasa… https://t.co/NOQOVOn1Sq",lelaki satu serbuan kawasan hentian rehat rawat gunung semanggol bagan serai selasa,-1
84,Modus operandi dikenal pasti iaitu penyeludup merentas negara menaiki bot  dipercayai bergerak dari Thailand menuju… https://t.co/HQRZJpm0kC,modus operandi dikenal iaitu penyeludupan merentas dipercayai menaiki bot bergerak negara thailand menuju menuju,-1
85,Christian Pulisic terlebih dulu meletakkan pelawat di depan pada minit ke-14 sebelum Karim Benzema menyamakan kedud… https://t.co/gxodq7PDac,christian pulisic meletakkan pelawat minit 14 karim benzema kedud,0
86,"Menteri Besar, Datuk Seri Aminuddin Harun berkata, pembayaran akan dibuat pada 3 Mei ini dan ia melibatkan jumlah k… https://t.co/8YScNBkMa0",Menteri besar datuk seri aminuddin harun berkata dibuat 3 mei melibatkan jumlah ok,0
87,"Mayat seorang lelaki ditemui terapung di dalam kolam tadahan Benteng 2 Segambut
#sinarharian 

https://t.co/Lh7m7vcDLB",mayat lelaki terapung kolam tadahan benteng 2 segambut,-1
88,Muhyiddin gesa agensi penguat kuasa gunakan pendekatan yang lebih berhikmah dalam memastikan pematuhan SOP oleh mas… https://t.co/FwukY5V1TE,muhyiddin gesa penguat agensi kuasa menggunakan pendekatan berhikmah memastikan pematuhan sop mas,1
89,Siasatan mendalam terhadap kes guru membuat lawak rogol sedang dilakukan dan tindakan tegas akan diambil-… https://t.co/Kh8vQdpxJg,mendalam mengenai guru membuat lawak rogol dilakukan tindakan diambil,-1
90,Mahkamah Rayuan diberitahu  Datuk Seri Najib Tun Razak bukan seorang pengarah atau pengarah bayangan di SRC Interna… https://t.co/mbHB3RWUXy,mahkamah rayuan diberitahu datuk seri najib tun razak pengarah pengarah bayangan src interna,-1
91,Amrin Awaluddin dilantik sebagai Pengarah Urusan Kumpulan dan Ketua Pegawai Eksekutif Tabung Haji bermula pada 6 Me… https://t.co/z0welQ17E8,amrin awaluddin dilantik pengarah urusan kumpulan ketua pegawai eksekutif tabung haji bermula 6,1
92,"Mangsa telah berjaya ditemui oleh pasukan penyelamat dalam jarak 300 meter dari tempat kejadian.
#sinarharian… https://t.co/OkuMgfa5Ef",berjaya ditemui pasukan penyelamat jarak 300 meter tempat kejadian,1
93,"Hakim S Indra Nehru menjatuhkan hukuman itu setelah tertuduh, Zulkifli Othman mengaku bersalah atas pertuduhan ters… https://t.co/GPKzQ6HvFL",hakim s indra nehru menjatuhkan hukuman tertuduh zulkifli othman mengaku bersalah atas pertuduhan ters,-1
94,"Menggunakan kepala surat atas nama Istana Negara disyaki palsu
#sinarharian 

https://t.co/VmnCF9MAvv via SinarOnline",Surat kepala surat atas nama istana disyaki negara palsu via sinaronline,-1
95,Kerajaan perlu mengambil kira keraguan orang ramai terhadap keselamatan dan keberkesanan penggunaan vaksin jenis As… https://t.co/pErnlDU54o,kerajaan perlu mengambil kira keraguan ramai orang keselamatan kesankeberan penggunaan vaksin jenis,-1
96,"Hakim Jamaludin Man menetapkan tarikh itu selepas Timbalan Pendakwa Raya, Hakim Amir Abdul Hamid memberitahu, terda… https://t.co/Ao73NgsuTX",hakim jamaludin man menetapkan tarikh timbalan pendakwa raya hakim amir abdul hamid terda,0
97,"UPSR mansuh sepenuh, PT3 dibatalkan tahun ini
#sinarharian 
https://t.co/UWBkRmtwJ7 via SinarOnline",upsr mansuh sepenuhnuhnuh pt3 dibatalkan tahun sinaronline,-1
98,Maritim Malaysia Kelantan telah berhubung dengan pasukan Polis Marin Thailand supaya mereka peka dengan penemuan se… https://t.co/pod3YeEyVq,maritim malaysia kelantan berhubung pasukan polis marin thailand peka penemuan penemuan,-1
99,"Perkara itu diumumkan Menteri Kanan (Pendidikan), Datuk Dr Mohd Radzi Md Jidin sebentar tadi. #sinarharian… https://t.co/i3CnInU9Np",perkara diumumkan menteri pendidikan datuk mohd radzi md jidin,0
