,Raw,CD-RE,Polarity
47,"Police brutality exists.
Racism in Malaysia just took a step for the worse.
We must fight for justice! #JusticeforGanapathy",kekejaman polis wujud perkauman malaysia mengambil langkah untuk buruk mesti memperjuangkan keadilan,-1
50,LOUDER #JusticeforGanapathy https://t.co/VAmfFoRIdN,keras,0
51,You know what they can crap all they want for all I care. The movement is gaining traction and that’s all that matt… https://t.co/UysHGqpnOi,tahu omong kosong mahukan untuk peduli pergerakan mendapat daya tarikan matt,-1
53,"POLICE BRUTALITY!!!! RIGHR IN THE HOLY MONTH OF RAMADHAN!!!! acab this country's fucked 😐

#JusticeforGanapathy i h… https://t.co/NvafVNsu8w",righr kekejaman polis bulan suci acab ramadhan negara tidak berwajah neutral i h,-1
54,"#Design Your #WordPress #Website Within 24 Hour !!

FIND ME ON FIVERR -- https://t.co/43UmbSSExk

#WordPress… https://t.co/cquBMj7jzA",masa 24 jam menemui fiverr,0
55,"tw // police brutality
tw // death
tw // blood
tw // beating 

#JusticeforGanapathy https://t.co/fGFJO8w0lb",tw kekejaman polis tw kematian tw darah tw memukul,-1
56,"More reasons I don't go to Facebook, cause its just filled with racist, conspiracy theory spewing assholes… https://t.co/mVJKzzP4B0",tidak pergi facebook dipenuhi teori konspirasi rasis memuntahkan assholes,-1
58,Malaysia indians need justice come together join us at brickfields coming Saturday 7pm #JusticeforGanapathy… https://t.co/qhLbkwOPst,malaysia india memerlukan keadilan bersatu sertai brickfields datang hari sabtu 7 malam,-1
61,"If we can't trust the government, police then who should we trust ? #JusticeforGanapathy",tidak percaya polis kerajaan percayai,-1
62,"Real MALAYSIANS know that this is not about race but about everyone.

#JusticeforGanapathy",malaysia sebenar tahu mengenai bangsa orang,1
64,New game download hori hai getting over it  aap hmara Channel Styleytgamer Please Check out 👇👇👇… https://t.co/gMiOTyId0U,permainan baru muat turun hori hai mengatasinya aap hmara channel styleytgamer sila lihat indeks backhand menunjuk bawah indeks backhand menunjuk bawah indeks backhand menunjuk bawah,0
67,"Dear Malaysia, nk ikut jejak langkah Amerika ke ? Seriously, what has happened to Malaysia ??? Please la, stop bein… https://t.co/KncNQfo1Au",dear malaysia nak ikut jejak amerika serius berlaku malaysia sila stop bein langkah,-1
68,Now we have Malaysia's attention. We have to get the world's attention now because we all know if within Malaysia i… https://t.co/vxLgrCgVt1,mempunyai perhatian malaysia mendapat perhatian dunia tahu malaysia i,-1
69,"Forget your race and religion, fight for what truly matters. #JusticeforGanapathy",lupakan bangsa agama memperjuangkan perkara benar benar penting,-1
71,"These racist f**kers 
#JusticeforGanapathy https://t.co/qCENFVTRED",f kers rasis,-1
73,"Hot Beauty Payal Rajput
@PayalRajput_ @PayalRajputFan @payalrajputK1 @1315payalrajput #PayalRajput… https://t.co/hvGAvHqd36",rajput payal kecantikan panas,1
74,#JusticeforGanapathy ✊🏾✊🏾✊🏾,nada kulit gelap sederhana penumbuk menaikkan nada kulit gelap penumbuk menaikkan warna kulit gelap penumbuk,0
76,"As I know, none of the rapist who raped their own daughters or sisters never died in police custody, but...but... i… https://t.co/dQdUr3wG0c",tahu tidak ada perogol merogol anak perempuan saudara perempuan tidak mati tahanan polis,-1
78,"@501Awani @VICE @malaysiakini can anyone from any news outlet cover this issue?
#JusticeforGanapathy… https://t.co/V7MUB1Z5nH",sesiapa sahaja saluran berita membuat liputan isu,0
80,He wasn't involved in gangsterism and this has nothing to do with gangsterism. And that's why we're fighting for ju… https://t.co/QmipvE8bX2,tidak terlibat gangsterisme tidak ada kaitan gangsterisme berjuang untuk ju,0
82,"Us Malaysians need to support each other, regardless of our background, race, religion and belief.  #JusticeforGanapathy",malaysia perlu menyokong mengira latar belakang agama kepercayaan,1
83,Here's the good time to bring up the justice for those who kill by the police brutality in this country.… https://t.co/u6NHb4bU72,masa sesuai untuk bangkitkan keadilan membunuh kekejaman polis negara,-1
88,#JusticeforGanapathy 😔😔,muka pensif muka termenung,0
92,"Custom Logo Animation for @sheakh_metul 
Need graphic related work? 
Just DM or order at https://t.co/BAdZHVXUZK… https://t.co/N9QRs7V2PR",animasi logo suai untuk memerlukan kerja berkaitan grafik dm tertib,0
94,"#JusticeforGanapathy
where is MIC PEMUDA?,RAJA KING,TAMIL ESWARAN ,NAVIN GOUNDER.oh ya they sibuk attacking non MIC NGO's.sorry to ask ya.",raja pemuda mikrofon menjinakkan eswaran navin gounder oh ya sibuk menyerang non mic ngo maaf untuk bertanya ya,0
95,"MALAYSIAN COME TOGETHER AND FIGHT FOR JUSTICE!
#JusticeforGanapathy https://t.co/MpL3VLJPdx",malaysian berkumpul memperjuangkan keadilan,1
99,"I criticized this fella a lot but this is an issue that I believe many politicians wouldn't want to talk about, but… https://t.co/4u720nli5P",Saya mengkritik fella isu percaya ahli politik tidak mahu membincangkannya,-1
